Employee Number,Decimal Number
209175,16.00
209175,56.00
209175,5.54
209175,.00
209175,101.91
209175,46.00
209175,168.00
209175,149.23
209175,56.00
209175,68.00
208423,354.73
208423,236.92
208423,9.25
208423,.00
208423,16.00
208423,.00
208423,324.95
208423,40.00
209032,12.32
209032,.00
209032,.00
209032,8.00
209032,.00
209032,14.80
207845,147.10
207845,.00
207845,56.00
207845,389.31
207845,.00
207845,40.00
207845,795.69
207845,513.28
207845,.00
207845,.00
207845,.00
207845,5.00
207845,40.00
207845,80.00
209031,43.00
207884,476.30
207884,16.00
207884,56.00
207884,399.77
207884,.00
207884,40.00
207884,.00
207884,.00
207884,.00
207884,.00
207884,533.78
207884,40.00
208777,230.35
208777,8.00
208777,56.00
208777,418.26
208777,40.00
208777,40.00
208969,95.43
208969,9.12
208969,40.00
208969,.00
208969,16.00
208969,114.75
208969,32.00
208985,66.14
208985,3.87
208985,.25
208985,.00
208985,8.00
208985,.00
208985,17.06
208985,40.00
208698,11.14
208698,.00
208698,40.00
208698,.00
208698,.00
208698,.00
208698,.00
208698,14.58
208698,40.00
209103,23.00
209039,54.47
209039,.00
209039,.00
209039,.00
209039,.00
209039,15.63
208497,89.48
208497,18.00
208497,.00
208497,39.00
208497,.00
208497,7.00
208497,.00
208497,7.00
208497,31.10
208497,12.00
208383,.00
208383,56.00
208383,40.00
208383,319.36
208383,482.86
208383,.00
208383,40.00
208383,75.00
208814,46.30
208814,190.50
208814,40.00
208814,.00
208814,16.00
208814,157.43
208814,40.00
208852,181.66
208852,113.12
208852,10.00
208852,.00
208852,16.00
208852,224.45
208852,40.00
208767,240.00
208767,240.00
208767,40.00
208767,.00
208767,16.00
208767,.00
208767,345.95
208767,24.00
209029,93.40
209029,103.75
209029,6.00
209029,.00
209029,.00
209029,84.20
209028,39.56
209028,7.00
209028,56.00
209028,.00
209028,127.15
208578,213.75
208578,.00
208578,218.00
208578,40.00
208578,.00
208578,3.00
208578,.00
208578,9.00
208578,293.24
208578,40.00
208578,352.13
208578,31.00
208578,280.00
208578,66.00
208578,334.49
208578,133.30
208578,379.50
208578,115.05
208578,996.14
208578,39.00
208578,6.00
208578,106.00
208578,16.00
208578,176.92
208578,468.00
208578,155.00
208145,153.20
208145,54.67
208145,14.00
208145,36.00
208145,.00
208145,11.00
208145,.00
208145,4.00
208145,53.70
208145,13.00
208741,5.83
208741,3.40
208741,.00
208741,33.00
208741,368.75
208741,.00
208741,.00
208741,7.00
208741,.00
208741,159.03
208741,58.07
208741,14.00
208741,69.00
208741,368.75
208741,11.00
208741,4.00
208741,60.70
208741,13.00
207891,162.59
207891,2.12
207891,.00
207891,.00
207891,16.00
207891,.00
207891,379.15
207891,40.00
208512,59.68
208512,39.00
208512,.00
208512,.00
208512,16.00
208512,.00
208512,15.58
208512,.00
209156,18.48
209156,3.00
209156,.00
209156,16.00
209156,.00
209156,.00
209156,22.20
208143,354.48
208143,.00
208143,40.00
208143,.00
208143,16.00
208143,.00
208143,531.23
208143,40.00
208014,334.94
208014,2.62
208014,16.00
208014,48.00
208014,.00
208014,.00
208014,.00
208014,16.00
208014,.00
208014,161.26
208014,40.00
209165,12.32
209165,.00
209165,.00
209165,16.00
209165,.00
209165,14.80
209165,942.49
